Ticker,Bond_ID,CF,Year
TUM2023,US91282CHL81,0.9744,2023
TUZ2023,US91282CJS17,0.9675,2023
TYH2023,US91282CFL00,0.887,2023
TYM2023,US91282CGB19,0.887,2023
TYH2023,US91282CFT36,0.8937,2023
TYM2023,US91282CGJ45,0.8671,2023
TYH2023,US91282CFV81,0.8657,2023
TYM2023,US91282CGM73,0.821,2023
TYH2023,US91282CFY21,0.887,2023
TYM2023,US91282CGQ87,0.8937,2023
TYH2023,US91282CGB19,0.8834,2023
TYM2023,US91282CGS44,0.8697,2023
TYH2023,US91282CGJ45,0.8628,2023
TYM2023,US91282CGZ86,0.8628,2023
TYH2023,US91282CGM73,0.8174,2023
TYM2023,US91282CHC82,0.8083,2023
TYH2023,US91282CGQ87,0.8902,2023
TYM2023,US91282CHF14,0.8765,2023
TYH2024,US91282CAV37,0.7275,2024
TYM2024,US91282CBL46,0.7408,2024
TYU2024,US91282CCB54,0.7674,2024
TYZ2024,US91282CCS89,0.7474,2024
FVH2024,US91282CHE49,0.9135,2024
FVM2024,US91282CHX20,0.9408,2024
FVU2024,US91282CJN20,0.9408,2024
FVZ2024,US91282CKD29,0.9363,2024
TUH2024,US91282CBC47,0.9079,2024
TUM2024,US91282CBT71,0.914,2024
TUU2024,US91282CCJ80,0.916,2024
TUZ2024,US91282CCZ23,0.916,2024
TYH2024,US91282CBL46,0.7326,2024
TYM2024,US91282CCB54,0.76,2024
TYU2024,US91282CCS89,0.7395,2024
TYZ2024,US91282CDJ71,0.7463,2024
FVH2024,US91282CHK09,0.9259,2024
FVM2024,US91282CJA09,0.949,2024
FVU2024,US91282CJR34,0.9166,2024
FVZ2024,US91282CKG59,0.9305,2024
TUH2024,US91282CBH34,0.9037,2024
TUM2024,US91282CBW01,0.9101,2024
TUU2024,US91282CCP41,0.908,2024
TUZ2024,US91282CDG33,0.9165,2024
TYH2024,US91282CCB54,0.7529,2024
TYM2024,US91282CCS89,0.7317,2024
TYU2024,US91282CDJ71,0.7388,2024
TYZ2024,US91282CDY49,0.767,2024
FVH2024,US91282CHQ78,0.9293,2024
FVM2024,US91282CJF95,0.9575,2024
FVU2024,US91282CJW29,0.9246,2024
FVZ2024,US91282CKP58,0.9481,2024
TUH2024,US91282CBQ33,0.9018,2024
TUM2024,US91282CCF68,0.9063,2024
TUU2024,US91282CCW91,0.9063,2024
TUZ2024,US91282CDK45,0.9152,2024
TYH2024,US91282CCS89,0.724,2024
TYM2024,US91282CDJ71,0.7313,2024
TYU2024,US91282CDY49,0.7603,2024
TYZ2024,US91282CEP23,0.8184,2024
FVH2024,US91282CHX20,0.9377,2024
FVM2024,US91282CJN20,0.9377,2024
FVU2024,US91282CKD29,0.9329,2024
FVZ2024,US91282CKT70,0.9425,2024
TUH2024,US91282CBT71,0.9024,2024
TUM2024,US91282CCJ80,0.9047,2024
TUU2024,US91282CCZ23,0.9047,2024
TUZ2024,US91282CDQ15,0.9117,2024
TYH2024,US91282CDJ71,0.7239,2024
TYM2024,US91282CDY49,0.7538,2024
TYU2024,US91282CEP23,0.8135,2024
TYZ2024,US91282CFF32,0.806,2024
FVH2024,US91282CJA09,0.9465,2024
FVM2024,US91282CJR34,0.9124,2024
FVU2024,US91282CKG59,0.927,2024
FVZ2024,US91282CKX82,0.9319,2024
TUH2024,US91282CGA36,0.9672,2024
TUM2024,US91282CGR60,0.9774,2024
TUU2024,US91282CHH79,0.9692,2024
TUZ2024,US91282CHY03,0.9774,2024
TYH2024,US91282CDY49,0.7473,2024
TYM2024,US91282CEP23,0.8085,2024
TYU2024,US91282CFF32,0.8009,2024
TYZ2024,US91282CFV81,0.8851,2024
FVH2024,US91282CJF95,0.9554,2024
FVM2024,US91282CJW29,0.9208,2024
FVU2024,US91282CKP58,0.9456,2024
FVZ2024,US91282CLC37,0.9208,2024
TUH2024,US91282CGE57,0.9636,2024
TUM2024,US91282CGV72,0.9614,2024
TUU2024,US91282CHM64,0.9742,2024
TUZ2024,US91282CJC64,0.9764,2024
TYH2024,US91282CHZ77,0.9269,2024
TYM2024,US91282CJQ50,0.8804,2024
TYU2024,US91282CKF76,0.9003,2024
TYZ2024,US91282CKW00,0.9069,2024
FVH2024,US91282CJN20,0.9346,2024
FVM2024,US91282CKD29,0.9296,2024
FVU2024,US91282CKT70,0.9397,2024
FVZ2024,US91282CLK52,0.9045,2024
TUH2024,US91282CGL90,0.9643,2024
TUM2024,US91282CHB00,0.9576,2024
TUU2024,US91282CHU80,0.9709,2024
TUZ2024,US91282CJK80,0.9754,2024
TYH2024,US91282CJG78,0.9402,2024
TYM2024,US91282CJX02,0.8937,2024
TYU2024,US91282CKN01,0.9269,2024
TYZ2024,US91282CLD10,0.9003,2024
FVH2024,US91282CJR34,0.9081,2024
FVM2024,US91282CKG59,0.9234,2024
FVU2024,US91282CKX82,0.9285,2024
FVZ2024,US91282CLN91,0.8979,2024
TUH2024,US91282CGR60,0.9744,2024
